Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
7,7.0,2023-05-01,28-071,DEN,,PHO,W (+10),1,41:16,17.0,30.0,0.567,2.0,6.0,0.333,3.0,4.0,0.75,3.0,13.0,16.0,5.0,2.0,1.0,3.0,2.0,39.0,32.8,2.0,0.614,0.6,10.6,32.2,23.3,35.8,2.6,1.8,8.6,42.5,118.0,88.0,17.7
8,8.0,2022-11-03,27-257,DEN,@,OKC,W (+12),1,35:38,6.0,9.0,0.667,0.0,0.0,,3.0,3.0,1.0,0.0,13.0,13.0,14.0,1.0,0.0,10.0,3.0,15.0,14.6,15.0,0.727,0.667,0.0,35.7,20.1,51.1,1.3,0.0,49.2,25.1,102.0,105.0,2.8
8,8.0,2022-11-03,27-257,DEN,@,OKC,W (+12),1,35:38,6.0,9.0,0.667,0.0,0.0,,3.0,3.0,1.0,0.0,13.0,13.0,14.0,1.0,0.0,10.0,3.0,15.0,14.6,15.0,0.666,0.605,13.7,30.0,21.2,64.0,0.0,1.7,21.0,27.6,131.0,120.0,16.5
8,8.0,2023-05-05,28-075,DEN,@,PHO,L (-7),1,41:56,11.0,19.0,0.579,1.0,2.0,0.5,7.0,8.0,0.875,6.0,11.0,17.0,17.0,0.0,1.0,6.0,3.0,30.0,33.6,5.0,0.727,0.667,0.0,35.7,20.1,51.1,1.3,0.0,49.2,25.1,102.0,105.0,2.8
8,8.0,2023-05-05,28-075,DEN,@,PHO,L (-7),1,41:56,11.0,19.0,0.579,1.0,2.0,0.5,7.0,8.0,0.875,6.0,11.0,17.0,17.0,0.0,1.0,6.0,3.0,30.0,33.6,5.0,0.666,0.605,13.7,30.0,21.2,64.0,0.0,1.7,21.0,27.6,131.0,120.0,16.5
9,9.0,2022-11-05,27-259,DEN,,SAS,W (+25),1,26:34,9.0,10.0,0.9,1.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,10.0,2.0,0.0,4.0,2.0,21.0,23.6,20.0,0.965,0.95,0.0,25.2,14.5,49.2,3.8,0.0,26.9,25.0,150.0,100.0,19.3
9,9.0,2022-11-05,27-259,DEN,,SAS,W (+25),1,26:34,9.0,10.0,0.9,1.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,10.0,2.0,0.0,4.0,2.0,21.0,23.6,20.0,0.742,0.7,3.5,10.7,7.1,52.1,0.0,2.3,14.4,47.4,137.0,141.0,18.7
9,9.0,2023-05-07,28-077,DEN,@,PHO,L (-5),1,39:27,20.0,30.0,0.667,2.0,4.0,0.5,11.0,13.0,0.846,1.0,3.0,4.0,11.0,0.0,1.0,6.0,2.0,53.0,42.4,2.0,0.965,0.95,0.0,25.2,14.5,49.2,3.8,0.0,26.9,25.0,150.0,100.0,19.3
9,9.0,2023-05-07,28-077,DEN,@,PHO,L (-5),1,39:27,20.0,30.0,0.667,2.0,4.0,0.5,11.0,13.0,0.846,1.0,3.0,4.0,11.0,0.0,1.0,6.0,2.0,53.0,42.4,2.0,0.742,0.7,3.5,10.7,7.1,52.1,0.0,2.3,14.4,47.4,137.0,141.0,18.7
10,10.0,2022-11-07,27-261,DEN,@,SAS,W (+6),1,33:57,11.0,20.0,0.55,0.0,1.0,0.0,4.0,5.0,0.8,1.0,7.0,8.0,10.0,2.0,3.0,4.0,2.0,26.0,25.1,15.0,0.586,0.55,3.9,23.6,14.5,45.0,2.7,8.7,15.3,31.7,115.0,99.0,10.5
