Seconds_played,Home_or_Away,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,WinOrLoss,Margin
2102,0,7,16,0,3,9,0,1,4,0,1,11,12,8,0,0,5,1,18,13,-14,1,1,3,36,18,40,0,0,22,30,92,123,1,0,21
2310,1,14,24,1,4,6,1,5,6,1,3,8,11,11,3,0,5,2,37,35,-2,1,1,8,26,16,52,4,0,16,35,127,120,13,0,8
2340,0,14,23,1,0,1,0,7,10,1,6,14,20,11,2,2,3,2,35,39,14,1,1,19,45,32,49,3,6,10,32,142,118,19,0,2
2092,1,10,13,1,0,1,0,8,8,1,2,6,8,7,1,0,4,3,28,27,-8,1,1,8,20,14,34,1,0,20,28,143,131,9,0,15
2009,1,14,18,1,0,1,0,2,3,1,4,6,10,9,1,1,1,2,30,33,13,1,1,16,18,17,48,2,2,5,27,164,105,21,1,19
2211,1,11,18,1,1,5,0,1,1,1,2,8,10,8,0,1,6,2,24,19,2,1,1,8,25,17,36,0,3,24,31,108,122,5,0,6
2187,1,9,12,1,0,0,0,4,4,1,4,13,17,10,2,0,1,5,22,30,13,1,1,18,40,31,44,3,0,7,19,171,103,18,1,6
2016,1,12,16,1,2,3,1,5,5,1,5,7,12,7,3,0,2,1,31,36,28,1,1,19,25,22,40,5,0,10,28,168,109,26,1,14
1913,0,10,20,0,1,6,0,10,11,1,1,5,6,11,1,0,3,2,31,28,19,1,1,4,17,10,52,2,0,11,38,131,104,14,1,23
2098,0,8,11,1,0,0,0,9,11,1,3,14,17,12,0,2,3,3,25,32,11,1,1,11,45,28,51,0,5,16,24,154,110,17,1,5
1481,1,7,13,1,0,2,0,0,1,0,2,8,10,4,2,3,8,1,14,10,-21,1,1,8,29,19,28,4,8,37,36,73,107,-4,0,21
1598,1,2,5,0,0,1,0,2,2,1,0,10,10,10,2,0,4,2,6,10,-5,1,0,0,34,18,48,3,0,40,16,99,99,2,0,4
2083,1,13,22,1,1,6,0,0,0,0,2,11,13,2,2,0,3,3,27,21,28,1,1,7,30,20,11,3,0,12,33,109,92,4,1,12
2083,1,13,22,1,1,6,0,0,0,0,2,11,13,2,2,0,3,3,27,21,28,0,0,14,23,18,32,4,3,10,37,103,120,5,1,12
2074,1,12,25,0,0,4,0,1,2,0,4,6,10,6,3,1,3,4,25,20,-19,1,1,7,30,20,11,3,0,12,33,109,92,4,0,16
2074,1,12,25,0,0,4,0,1,2,0,4,6,10,6,3,1,3,4,25,20,-19,0,0,14,23,18,32,4,3,10,37,103,120,5,0,16
2017,0,14,19,1,2,2,1,2,3,1,5,11,16,7,3,1,6,4,32,32,14,1,1,18,39,29,42,4,2,23,34,127,85,21,1,6
2017,0,14,19,1,2,2,1,2,3,1,5,11,16,7,3,1,6,4,32,32,14,1,0,18,28,23,31,2,8,11,40,122,126,9,1,6
1697,1,9,20,0,0,4,0,8,8,1,5,6,11,4,1,2,3,5,26,21,-26,1,1,18,39,29,42,4,2,23,34,127,85,21,0,20
1697,1,9,20,0,0,4,0,8,8,1,5,6,11,4,1,2,3,5,26,21,-26,1,0,18,28,23,31,2,8,11,40,122,126,9,0,20
2097,0,9,15,1,1,4,0,5,6,1,3,16,19,3,3,0,6,3,24,22,-12,1,1,8,47,27,18,4,0,25,29,105,90,10,0,12
2097,0,9,15,1,1,4,0,5,6,1,3,16,19,3,3,0,6,3,24,22,-12,1,1,14,47,30,28,4,0,16,36,129,117,14,0,12
2302,0,14,22,1,2,3,1,7,9,1,4,14,18,5,3,0,5,3,37,34,3,1,1,8,47,27,18,4,0,25,29,105,90,10,0,5
2302,0,14,22,1,2,3,1,7,9,1,4,14,18,5,3,0,5,3,37,34,3,1,1,14,47,30,28,4,0,16,36,129,117,14,0,5
900,1,8,9,1,3,3,1,5,7,1,1,5,6,6,0,0,1,1,24,25,7,1,1,8,42,25,100,0,0,8,39,191,122,49,0,12
900,1,8,9,1,3,3,1,5,7,1,1,5,6,6,0,0,1,1,24,25,7,1,1,4,24,15,33,0,0,23,36,122,121,6,0,12
2262,0,14,21,1,3,5,1,6,6,1,1,7,8,6,0,0,7,3,37,27,-2,1,1,8,42,25,100,0,0,8,39,191,122,49,1,5
2262,0,14,21,1,3,5,1,6,6,1,1,7,8,6,0,0,7,3,37,27,-2,1,1,4,24,15,33,0,0,23,36,122,121,6,1,5
1515,0,5,9,1,1,3,0,0,0,0,2,14,16,8,1,0,1,4,11,16,26,1,1,11,51,35,45,2,0,10,18,137,67,17,1,31
1515,0,5,9,1,1,3,0,0,0,0,2,14,16,8,1,0,1,4,11,16,26,1,1,10,57,33,66,2,6,22,38,117,99,20,1,31
1932,1,12,18,1,0,2,0,6,8,1,3,16,19,8,1,2,6,5,30,28,0,1,1,11,51,35,45,2,0,10,18,137,67,17,0,4
1932,1,12,18,1,0,2,0,6,8,1,3,16,19,8,1,2,6,5,30,28,0,1,1,10,57,33,66,2,6,22,38,117,99,20,0,4
2200,1,10,23,0,3,8,0,3,4,1,5,14,19,7,1,2,7,2,26,21,17,1,0,14,37,26,40,1,6,22,37,97,86,9,1,2
1983,1,9,15,1,2,6,0,3,4,1,1,6,7,7,0,4,3,2,23,22,0,1,1,3,19,11,39,0,9,15,27,120,105,14,0,9
2101,1,11,20,1,2,5,0,10,10,1,2,9,11,5,2,0,2,3,34,31,-3,1,1,6,34,19,24,3,0,8,34,141,112,18,0,2
2183,0,9,15,1,1,3,0,9,11,1,2,12,14,2,2,1,5,5,28,22,7,1,1,5,38,20,11,3,3,20,30,116,93,8,1,1
2004,0,10,14,1,0,0,0,5,8,1,4,11,15,10,2,2,2,3,25,31,14,1,1,13,37,25,52,3,7,10,25,148,91,24,1,17
2129,0,10,22,0,1,8,0,1,4,0,5,14,19,10,1,0,2,5,22,21,19,0,0,15,36,26,51,1,0,8,33,109,95,10,1,9
1677,0,11,17,1,3,3,1,3,3,1,2,7,9,9,0,0,3,2,28,26,9,1,1,8,28,18,55,0,0,14,35,150,109,20,1,29
2212,1,15,26,1,2,6,0,3,6,0,3,13,16,6,0,2,3,1,35,30,-1,1,1,9,37,23,38,0,5,10,40,121,116,16,0,10
2124,0,10,17,1,3,4,1,7,9,1,1,9,10,7,0,1,1,3,30,28,-5,1,1,3,29,15,52,0,2,5,28,145,111,20,0,14
1955,1,9,14,1,1,2,0,5,6,1,3,12,15,7,1,0,1,2,24,27,17,1,1,14,42,30,35,2,0,6,27,157,111,14,1,9
2171,1,7,19,0,0,5,0,4,5,1,1,14,15,7,1,0,5,1,18,12,2,0,0,3,53,27,31,1,0,19,34,82,108,-2,0,5
1616,1,14,19,1,3,7,0,1,1,1,3,8,11,5,0,0,4,0,32,28,12,1,1,17,28,24,47,0,0,17,42,138,110,19,1,14
2167,1,6,17,0,1,5,0,4,6,1,1,11,12,15,2,0,3,2,17,19,7,0,0,2,28,15,66,3,0,13,27,102,104,13,0,12
2202,1,17,23,1,0,3,0,5,9,1,1,10,11,11,1,0,6,2,39,34,4,1,1,4,38,20,78,1,0,18,43,124,108,17,1,6
2099,1,8,19,0,2,8,0,4,4,1,2,11,13,10,2,1,2,3,22,23,-5,1,0,6,36,20,44,3,3,9,29,116,116,11,0,12
2052,1,15,24,1,4,6,1,1,1,1,2,15,17,8,1,2,5,3,35,32,32,1,1,7,47,28,43,1,4,17,38,126,101,15,1,15
1836,0,9,14,1,1,2,0,9,11,1,2,17,19,9,3,1,4,0,28,34,21,1,1,8,52,33,62,5,3,18,34,134,92,25,1,6
2097,0,11,16,1,2,4,0,3,5,1,2,8,10,11,1,0,4,4,27,26,-17,1,1,6,28,17,66,1,0,18,27,132,124,15,0,17
1566,1,8,12,1,1,2,0,3,3,1,2,8,10,7,3,0,3,5,20,22,13,1,1,12,33,24,36,5,0,18,28,138,100,11,1,18
1492,1,5,9,1,1,4,0,2,2,1,0,7,7,3,0,2,3,0,13,11,-15,1,1,0,27,14,25,0,6,23,23,101,106,4,0,14
2107,0,13,34,0,1,6,0,2,3,1,6,15,21,5,2,0,6,0,29,18,2,0,0,17,37,28,31,3,0,14,48,84,101,1,0,8
2250,1,9,24,0,1,3,0,7,7,1,6,16,22,8,2,2,4,4,26,25,-7,0,0,16,44,30,37,3,4,13,35,105,90,10,1,3
2119,1,8,19,0,0,5,0,6,8,1,5,14,19,5,4,1,8,2,22,18,6,0,0,14,49,30,29,6,3,26,39,85,78,7,1,3
1509,1,8,12,1,1,2,0,7,9,1,1,10,11,3,0,1,4,4,24,19,7,1,1,5,42,26,19,0,4,20,33,125,107,4,1,13
2084,1,11,18,1,1,4,0,4,4,1,4,12,16,3,2,0,3,3,27,25,-6,1,1,16,40,30,26,3,0,13,30,128,105,14,0,14
2234,0,10,17,1,1,3,0,5,6,1,2,19,21,11,0,2,5,2,26,28,-1,1,1,6,56,32,49,0,5,20,30,121,108,16,0,6
2017,0,13,20,1,3,6,0,4,8,0,1,9,10,7,2,2,2,3,33,31,0,1,1,4,27,16,35,3,4,8,36,132,104,17,1,10
1963,1,8,21,0,1,3,0,5,5,1,8,10,18,6,1,0,2,0,22,22,10,0,0,24,32,28,35,2,0,8,33,120,102,10,1,4
2198,1,9,14,1,1,3,0,2,2,1,5,8,13,8,1,0,5,2,21,22,6,1,1,16,23,20,52,1,0,25,24,117,93,14,0,2
1706,0,8,10,1,1,2,0,3,3,1,0,8,8,7,0,2,3,2,20,21,18,1,1,0,30,18,31,0,7,21,23,151,104,11,1,32
1690,0,7,12,1,1,2,0,2,2,1,2,10,12,13,1,0,3,1,17,22,16,1,1,8,34,22,63,2,0,19,26,144,100,18,1,37
2204,0,10,18,1,2,5,0,3,3,1,3,12,15,14,2,0,3,5,25,29,5,1,1,8,37,22,63,3,0,13,27,130,121,19,0,23
2476,0,16,25,1,3,5,1,14,16,1,7,7,14,10,3,1,5,4,49,48,15,1,1,19,21,20,47,4,2,14,39,147,118,24,1,2
2411,0,11,16,1,2,4,0,2,3,1,3,8,11,12,2,1,0,3,26,33,0,1,1,8,24,16,48,2,2,0,18,168,116,19,0,4
2166,0,12,19,1,1,6,0,9,10,1,2,7,9,8,2,1,3,1,34,34,12,1,1,7,31,18,38,3,3,11,33,141,108,17,1,6
2035,1,9,20,0,3,8,0,7,7,1,3,18,21,9,1,0,3,2,28,29,14,1,1,10,52,32,55,1,0,12,30,133,95,18,1,5
2110,1,8,13,1,2,2,1,8,8,1,2,8,10,8,1,0,2,5,26,26,6,1,1,6,26,16,35,1,0,11,22,159,116,12,1,6
1818,1,11,19,1,3,6,0,4,4,1,3,10,13,10,2,0,6,5,29,26,15,1,1,12,33,24,67,3,0,22,37,122,95,16,1,11
1694,1,7,9,1,2,4,0,2,2,1,0,10,10,15,3,1,5,1,18,26,24,1,1,0,42,23,62,5,4,34,25,150,92,28,1,36
1823,1,6,12,0,1,4,0,8,9,1,2,14,16,8,1,0,5,3,21,21,-7,1,1,6,45,26,44,2,0,24,29,117,120,7,0,15
2088,0,7,10,1,3,3,1,8,8,1,2,10,12,9,2,0,4,4,25,28,-6,1,1,7,48,24,49,3,0,23,24,158,119,18,0,8
1789,0,12,15,1,0,2,0,3,4,1,1,11,12,10,2,1,2,1,27,32,27,1,1,4,34,21,54,3,4,11,27,154,95,26,1,20
1824,0,8,14,1,0,3,0,5,7,1,3,8,11,7,0,0,6,2,21,16,1,1,1,12,23,19,33,0,0,26,33,111,117,-1,1,17
2061,1,9,20,0,3,10,0,2,4,0,5,11,16,11,0,2,9,2,23,18,3,1,1,15,26,21,58,0,5,29,36,94,101,9,0,6
2099,1,10,16,1,0,2,0,8,10,1,5,10,15,6,0,2,4,1,28,28,3,1,1,18,30,24,33,0,5,16,30,132,113,12,1,1
