Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Unnamed: 28_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
,Boston,15,15,461,123,222,20,55,56,68,41,155,97,19,14,45,40,322,,.554,.364,.824,,.639,27.9,124,108,,30.8,21.5,10.3,6.5
,Charlotte,16,16,513,135,262,12,41,71,89,66,222,114,15,10,53,42,353,,.515,.293,.798,,.586,29.2,120,107,,32.1,22.1,13.9,7.1
,Chicago,13,12,364,93,178,17,38,32,39,31,129,100,12,12,25,27,235,,.522,.447,.821,,.602,26.6,130,107,,28.0,18.1,9.9,7.7
,Cleveland,16,15,499,114,197,16,39,51,59,47,171,113,22,7,53,44,295,,.579,.410,.864,,.662,24.4,127,110,,31.2,18.4,10.7,7.1
,Dallas,25,24,751,181,341,20,74,73,94,65,284,155,29,13,77,62,455,,.531,.270,.777,,.595,27.3,116,107,,30.0,18.2,11.4,6.2
,Detroit,15,14,458,127,221,9,34,58,71,29,137,95,24,13,32,40,321,,.575,.265,.817,,.636,27.2,129,105,,30.5,21.4,9.1,6.3
,Golden State,26,25,769,173,347,10,55,108,135,74,269,172,38,14,90,58,464,,.499,.182,.800,,.571,27.2,114,111,,29.6,17.8,10.3,6.6
,Houston,26,23,719,197,342,14,41,85,106,74,269,169,30,18,94,77,493,,.576,.341,.802,,.634,28.8,119,111,,27.6,19.0,10.3,6.5
,Indiana,13,13,410,124,222,18,42,60,71,35,123,70,27,9,39,38,326,,.559,.429,.845,,.644,30.9,126,109,,31.5,25.1,9.5,5.4
,LA Clippers,27,27,823,204,379,26,80,125,151,73,295,165,30,20,69,80,559,,.538,.325,.828,,.627,27.3,126,108,,30.5,20.7,10.9,6.1
,LA Lakers,24,23,732,166,315,19,65,106,120,59,244,149,33,16,70,65,457,,.527,.292,.883,,.621,26.1,121,107,,30.5,19.0,10.2,6.2
,Memphis,26,26,824,192,333,28,75,98,116,64,271,145,36,14,74,81,510,,.577,.373,.845,,.664,24.6,125,104,,31.7,19.6,10.4,5.6
,Miami,16,14,521,128,231,18,41,49,60,36,177,100,18,11,36,47,323,,.554,.439,.817,,.627,25.0,127,107,,32.6,20.2,11.1,6.3
,Milwaukee,14,13,440,118,217,24,56,40,46,31,133,119,15,9,41,27,300,,.544,.429,.870,,.632,27.3,128,108,,31.4,21.4,9.5,8.5
,Minnesota,30,27,959,240,453,24,91,109,133,91,317,205,30,23,102,108,613,,.530,.264,.820,,.599,28.1,119,109,,32.0,20.4,10.6,6.8
,New Jersey,16,15,485,139,239,14,44,69,78,46,186,101,22,13,35,56,361,,.582,.318,.885,,.660,26.9,134,108,,30.3,22.6,11.6,6.3
,New Orleans,26,23,781,222,375,35,86,86,104,62,263,182,34,21,75,68,565,,.592,.407,.827,,.671,27.6,129,109,,30.0,21.7,10.1,7.0
,New York,15,15,451,130,231,19,48,52,68,44,153,89,10,11,38,32,331,,.563,.396,.765,,.634,28.9,128,109,,30.1,22.1,10.2,5.9
,Oklahoma City,28,24,891,222,397,26,93,119,136,59,296,185,28,24,81,80,589,,.559,.280,.875,,.645,26.1,126,106,,31.8,21.0,10.6,6.6
,Orlando,15,13,479,101,203,18,52,45,56,33,154,125,21,10,40,37,265,,.498,.346,.804,,.582,24.5,121,105,,31.9,17.7,10.3,8.3
,Philadelphia,14,14,462,111,204,14,38,77,94,31,147,109,11,14,40,31,313,,.544,.368,.819,,.638,27.2,125,109,,33.0,22.4,10.5,7.8
,Phoenix,24,20,760,180,316,23,57,110,128,69,261,155,34,16,68,73,493,,.570,.404,.859,,.662,25.6,130,106,,31.7,20.5,10.9,6.5
,Portland,29,26,868,221,396,33,90,93,113,72,275,184,26,22,72,82,568,,.558,.367,.823,,.637,26.2,128,109,,29.9,19.6,9.5,6.3
,Sacramento,25,25,781,182,333,23,76,90,105,51,272,174,28,19,72,72,477,,.547,.303,.857,,.629,25.2,123,107,,31.2,19.1,10.9,7.0
,San Antonio,27,25,869,252,419,42,87,76,92,73,266,204,28,17,101,76,622,,.601,.483,.826,,.677,28.1,124,112,,32.2,23.0,9.9,7.6
,Toronto,16,14,474,119,194,7,27,59,68,51,175,95,11,11,40,26,304,,.613,.259,.868,,.679,24.6,133,112,,29.6,19.0,10.9,5.9
,Utah,28,24,854,194,367,27,81,101,123,66,285,198,35,19,72,91,516,,.529,.333,.821,,.613,25.9,123,107,,30.5,18.4,10.2,7.1
,Washington,15,14,460,126,205,20,37,62,73,37,169,89,21,9,44,35,334,,.615,.541,.849,,.704,26.6,131,107,,30.7,22.3,11.3,5.9
